Accident_Index,Accident Date,Day_of_Week,Junction_Control,Junction_Detail,Accident_Severity,Latitude,Light_Conditions,Local_Authority_(District),Carriageway_Hazards,Longitude,Number_of_Casualties,Number_of_Vehicles,Police_Force,Road_Surface_Conditions,Road_Type,Speed_limit,Time,Urban_or_Rural_Area,Weather_Conditions,Vehicle_Type
BS0003557,10/22/2021,Thursday,Auto traffic signal,Crossroads,Slight,51.540556,Darkness - lights lit,Islington,None,-0.095971,1,2,Metropolitan Police,Dry,Single carriageway,30,4:00,Urban,Fine no high winds,Car
BS0003558,10/23/2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.544883,Daylight,Islington,None,-0.107761,1,2,Metropolitan Police,Dry,Single carriageway,30,8:15,Urban,Fine no high winds,Car
BS0003559,10/20/2021,Tuesday,Auto traffic signal,Crossroads,Slight,51.519022,Darkness - lights lit,City of London,None,-0.087932,1,2,City of London,Dry,Single carriageway,30,19:00,Urban,Fine no high winds,Car
BS0003560,10/6/2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.560652,Daylight,Islington,None,-0.098594,1,1,Metropolitan Police,Dry,Single carriageway,30,9:55,Urban,Fine no high winds,Car
BS0003561,10/31/2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.549844,Darkness - lights lit,Islington,None,-0.108709,2,3,Metropolitan Police,Wet or damp,Single carriageway,30,0:29,Urban,Raining no high winds,Other vehicle
BS0003562,9/30/2021,Wednesday,Give way or uncontrolled,Roundabout,Slight,51.525857,Daylight,Islington,None,-0.087934,1,2,Metropolitan Police,Dry,Roundabout,40,13:20,Urban,Fine no high winds,Motorcycle 125cc and under
BS0003563,10/20/2021,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.521748,Daylight,Camden,None,-0.111891,1,2,Metropolitan Police,Dry,Dual carriageway,30,16:30,Urban,Fine no high winds,Car
BS0003564,10/23/2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.537303,Daylight,Islington,None,-0.100577,1,2,Metropolitan Police,Dry,Single carriageway,30,15:58,Urban,Fine no high winds,Car
BS0003565,10/27/2021,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Serious,51.541476,Darkness - lights lit,Islington,None,-0.102854,1,1,Metropolitan Police,Dry,Single carriageway,30,19:45,Urban,Fine no high winds,Car
BS0003566,10/26/2021,Monday,Auto traffic signal,Crossroads,Slight,51.530731,Darkness - lights lit,Camden,None,-0.122477,1,1,Metropolitan Police,Dry,One way street,30,19:00,Urban,Fine no high winds,Car
BS0003567,10/25/2021,Sunday,Give way or uncontrolled,T or staggered junction,Slight,51.560375,Darkness - lights lit,Islington,None,-0.137415,1,2,Metropolitan Police,Dry,Single carriageway,30,5:27,Urban,Fine no high winds,Motorcycle 125cc and under
BS0003568,11/3/2021,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.56277,Daylight,Islington,None,-0.10168,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,9:50,Urban,Raining no high winds,Car
BS0003569,11/2/2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.537138,Daylight,Islington,None,-0.107072,1,1,Metropolitan Police,Dry,Single carriageway,30,10:34,Urban,Fog or mist,Car
BS0003570,2/15/2021,Sunday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.53924,Daylight,Hackney,None,-0.081461,1,2,Metropolitan Police,Dry,Single carriageway,30,14:00,Urban,Fine no high winds,Car
BS0003571,10/27/2021,Tuesday,Give way or uncontrolled,Roundabout,Slight,51.541723,Daylight,Hackney,None,-0.084817,1,2,Metropolitan Police,Dry,Roundabout,30,8:45,Urban,Fine no high winds,Car
BS0003572,10/28/2021,Wednesday,Auto traffic signal,Crossroads,Slight,51.560293,Daylight,Islington,None,-0.115344,1,1,Metropolitan Police,Dry,Single carriageway,30,8:50,Urban,Fine no high winds,Motorcycle 50cc and under
BS0003573,11/6/2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.522906,Darkness - lights lit,Islington,None,-0.100023,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,19:10,Urban,Raining no high winds,Car
BS0003574,11/7/2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.558765,Darkness - lights lit,Islington,None,-0.098672,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,22:47,Urban,Raining no high winds,Car
BS0003575,10/28/2021,Wednesday,Give way or uncontrolled,T or staggered junction,Serious,51.550573,Daylight,Islington,None,-0.098149,1,2,Metropolitan Police,Dry,Single carriageway,30,9:50,Urban,Fine no high winds,Car
BS0003576,10/27/2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.520873,Daylight,Islington,None,-0.09117,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,7:35,Urban,Raining no high winds,Car
BS0003577,11/2/2021,Monday,Auto traffic signal,Crossroads,Slight,51.566879,Darkness - lights lit,Islington,None,-0.122287,1,2,Metropolitan Police,Dry,Single carriageway,30,18:41,Urban,Fine no high winds,Other vehicle
BS0003578,11/7/2021,Saturday,Give way or uncontrolled,Crossroads,Slight,51.56088,Daylight,Islington,None,-0.11835,1,2,Metropolitan Police,Dry,Single carriageway,30,10:55,Urban,Fine no high winds,Car
BS0003579,11/3/2021,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.546343,Darkness - lights lit,Islington,None,-0.103517,1,2,Metropolitan Police,Wet or damp,Dual carriageway,30,16:58,Urban,Other,Car
BS0003580,10/29/2021,Thursday,Auto traffic signal,More than 4 arms (not roundabout),Slight,51.563308,Daylight,Islington,None,-0.10714,1,1,Metropolitan Police,Dry,Single carriageway,30,8:50,Urban,Fine no high winds,Car
BS0003581,10/26/2021,Monday,Auto traffic signal,Crossroads,Slight,51.549522,Darkness - lights lit,Islington,None,-0.11103,1,2,Metropolitan Police,Dry,One way street,30,18:28,Urban,Fine no high winds,Other vehicle
BS0003582,11/4/2021,Wednesday,Give way or uncontrolled,Roundabout,Serious,51.549117,Darkness - lights lit,Islington,None,-0.091574,1,2,Metropolitan Police,Dry,Roundabout,30,17:39,Urban,Fine no high winds,Car
BS0003583,10/30/2021,Friday,Auto traffic signal,Roundabout,Slight,51.565268,Darkness - lights lit,Islington,None,-0.13404,3,1,Metropolitan Police,Dry,Roundabout,30,4:25,Urban,Fine no high winds,Motorcycle over 500cc
BS0003584,11/6/2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.553884,Darkness - lights lit,Islington,None,-0.113878,1,2,Metropolitan Police,Wet or damp,Dual carriageway,30,18:40,Urban,Raining no high winds,Car
BS0003585,11/10/2021,Tuesday,Auto traffic signal,Crossroads,Slight,51.568491,Daylight,Haringey,None,-0.110676,3,2,Metropolitan Police,Dry,Single carriageway,30,15:23,Urban,Fine no high winds,Car
BS0003586,9/27/2021,Sunday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.554556,Darkness - lights lit,Islington,None,-0.105339,1,1,Metropolitan Police,Dry,Single carriageway,30,0:01,Urban,Fine no high winds,Car
BS0003587,10/20/2021,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.560427,Daylight,Islington,None,-0.123707,1,2,Metropolitan Police,Dry,Single carriageway,30,9:00,Urban,Fine no high winds,Car
BS0003588,10/23/2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.550858,Daylight,Islington,None,-0.110253,1,2,Metropolitan Police,Dry,Single carriageway,30,8:05,Urban,Fine no high winds,Car
BS0003589,11/11/2021,Wednesday,Auto traffic signal,Crossroads,Slight,51.548735,Daylight,Islington,None,-0.129236,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,7:14,Urban,Fine no high winds,Car
BS0003590,11/4/2021,Wednesday,Auto traffic signal,Crossroads,Slight,51.55147,Darkness - lights lit,Islington,None,-0.12595,1,2,Metropolitan Police,Wet or damp,Dual carriageway,30,16:30,Urban,Fine no high winds,Car
BS0003591,11/10/2021,Tuesday,Give way or uncontrolled,Other junction,Slight,51.55,Darkness - lights lit,Islington,None,-0.118366,1,2,Metropolitan Police,Dry,One way street,30,17:21,Urban,Fine no high winds,Car
BS0003592,11/6/2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.561157,Darkness - lights lit,Islington,None,-0.124398,1,1,Metropolitan Police,Dry,Single carriageway,30,16:20,Urban,Fine no high winds,Car
BS0003593,11/7/2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.565961,Daylight,Islington,None,-0.12117,1,2,Metropolitan Police,Dry,Single carriageway,30,13:15,Urban,Fine no high winds,Car
BS0003594,11/9/2021,Monday,Auto traffic signal,Crossroads,Slight,51.548822,Daylight,Islington,None,-0.129088,1,1,Metropolitan Police,Dry,Single carriageway,30,9:55,Urban,Fine no high winds,Car
BS0003595,11/3/2021,Tuesday,Auto traffic signal,Crossroads,Slight,51.540648,Daylight,Islington,None,-0.096111,1,2,Metropolitan Police,Dry,Single carriageway,30,7:45,Urban,Fine no high winds,Other vehicle
BS0003596,11/4/2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.536128,Daylight,Islington,None,-0.11692,1,1,Metropolitan Police,Dry,Single carriageway,30,9:55,Urban,Fine no high winds,Car
BS0003597,11/6/2021,Friday,Auto traffic signal,T or staggered junction,Slight,51.550487,Darkness - lights lit,Islington,None,-0.109547,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,17:11,Urban,Raining no high winds,Car
BS0003598,10/27/2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.559735,Daylight,Islington,None,-0.091996,1,2,Metropolitan Police,Dry,Single carriageway,30,14:20,Urban,Fine no high winds,Car
BS0003599,11/7/2021,Saturday,Give way or uncontrolled,Roundabout,Slight,51.545963,Darkness - lighting unknown,Islington,None,-0.102235,1,1,Metropolitan Police,Dry,Roundabout,30,0:14,Urban,Fog or mist,Car
BS0003600,11/9/2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.548654,Daylight,Islington,None,-0.101835,1,2,Metropolitan Police,Dry,Single carriageway,30,8:05,Urban,Fine no high winds,Motorcycle over 500cc
BS0003601,11/15/2021,Sunday,Auto traffic signal,Crossroads,Slight,51.548735,Darkness - lights lit,Islington,None,-0.129236,1,2,Metropolitan Police,Dry,Single carriageway,30,19:17,Urban,Fine no high winds,Car
BS0003602,11/12/2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.547095,Daylight,Islington,None,-0.094399,1,2,Metropolitan Police,Dry,Single carriageway,30,13:44,Urban,Fine no high winds,Car
BS0003603,11/17/2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.564708,Daylight,Islington,None,-0.132765,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,16:49,Urban,Fine no high winds,Car
BS0003604,11/8/2021,Sunday,Auto traffic signal,T or staggered junction,Slight,51.533163,Darkness - lighting unknown,Islington,None,-0.10594,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,0:48,Urban,Other,Car
BS0003605,11/9/2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.548135,Daylight,Islington,None,-0.097529,1,1,Metropolitan Police,Dry,Single carriageway,30,15:50,Urban,Fine no high winds,Car
BS0003606,11/9/2021,Monday,Auto traffic signal,Crossroads,Slight,51.543601,Darkness - lights lit,Islington,None,-0.100747,1,2,Metropolitan Police,Dry,Single carriageway,30,19:45,Urban,Fine no high winds,Car
BS0003607,11/17/2021,Tuesday,Auto traffic signal,More than 4 arms (not roundabout),Slight,51.563137,Darkness - lights lit,Islington,None,-0.107724,1,1,Metropolitan Police,Dry,Single carriageway,30,20:05,Urban,Fine + high winds,Car
BS0003608,10/6/2021,Tuesday,Auto traffic signal,Crossroads,Slight,51.531542,Daylight,Islington,None,-0.111342,1,1,Metropolitan Police,Dry,Single carriageway,30,8:45,Urban,Fine no high winds,Car
BS0003609,10/30/2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.556558,Darkness - lights lit,Islington,None,-0.117951,1,1,Metropolitan Police,Dry,Dual carriageway,30,16:18,Urban,Fine no high winds,Car
BS0003610,11/11/2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.547926,Darkness - lights lit,Islington,None,-0.118019,2,2,Metropolitan Police,Wet or damp,Single carriageway,30,20:30,Urban,Other,Car
BS0003611,11/12/2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.537974,Darkness - lights lit,Islington,None,-0.092041,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,17:05,Urban,Raining no high winds,Car
BS0003612,11/14/2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.564565,Daylight,Islington,None,-0.135079,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,15:20,Urban,Raining + high winds,Motorcycle over 125cc and up to 500cc
BS0003613,11/7/2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.554622,Daylight,Islington,None,-0.115002,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,13:17,Urban,Fine no high winds,Car
BS0003614,11/18/2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.5636,Daylight,Islington,None,-0.102944,1,1,Metropolitan Police,Dry,Single carriageway,30,13:58,Urban,Fine + high winds,Car
BS0003615,11/7/2021,Saturday,Auto traffic signal,More than 4 arms (not roundabout),Slight,51.564526,Darkness - lights lit,Islington,None,-0.104636,1,1,Metropolitan Police,Dry,Single carriageway,30,21:15,Urban,Fine no high winds,Car
BS0003616,11/16/2021,Monday,Give way or uncontrolled,Crossroads,Slight,51.543782,Daylight,Islington,None,-0.117613,1,1,Metropolitan Police,Dry,Single carriageway,30,17:15,Urban,Fog or mist,Car
BS0003617,11/13/2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.537038,Daylight,Islington,None,-0.100876,1,2,Metropolitan Police,Dry,Single carriageway,30,10:05,Urban,Fog or mist,Car
BS0003618,11/12/2021,Thursday,Auto traffic signal,Crossroads,Slight,51.528917,Darkness - lights lit,Islington,None,-0.110297,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,20:59,Urban,Raining no high winds,Car
BS0003619,11/17/2021,Tuesday,Give way or uncontrolled,Roundabout,Slight,51.525589,Daylight,Islington,None,-0.088089,1,2,Metropolitan Police,Wet or damp,Roundabout,30,18:45,Urban,Raining no high winds,Van / Goods 3.5 tonnes mgw or under
BS0003620,11/18/2021,Wednesday,Give way or uncontrolled,Roundabout,Slight,51.525315,Daylight,Islington,None,-0.087813,1,2,Metropolitan Police,Dry,Roundabout,30,8:49,Urban,Fine + high winds,Car
BS0003621,11/18/2021,Wednesday,Auto traffic signal,T or staggered junction,Slight,51.53143,Darkness - lights lit,Islington,None,-0.104426,1,2,Metropolitan Police,Dry,Single carriageway,30,19:50,Urban,Fine no high winds,Car
BS0003622,9/5/2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.549941,Daylight,Islington,None,-0.086924,1,1,Metropolitan Police,Dry,Single carriageway,30,17:53,Urban,Fine no high winds,Motorcycle 50cc and under
BS0003623,11/11/2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.537298,Daylight,Camden,None,-0.122639,1,2,Metropolitan Police,Dry,Single carriageway,30,8:10,Urban,Fine no high winds,Car
BS0003624,11/25/2021,Wednesday,Give way or uncontrolled,Crossroads,Slight,51.538008,Daylight,Islington,None,-0.099682,1,2,Metropolitan Police,Dry,Single carriageway,30,12:10,Urban,Fine no high winds,Car
BS0003625,11/19/2021,Thursday,Give way or uncontrolled,Crossroads,Slight,51.538008,Darkness - lights lit,Islington,None,-0.099682,1,2,Metropolitan Police,Dry,Single carriageway,30,18:20,Urban,Fine no high winds,Car
BS0003626,11/26/2021,Thursday,Give way or uncontrolled,Other junction,Slight,51.534252,Daylight,Islington,None,-0.117718,1,2,Metropolitan Police,Dry,Single carriageway,30,11:35,Urban,Fine no high winds,Car
BS0003627,11/29/2021,Sunday,Auto traffic signal,Crossroads,Slight,51.526263,Darkness - lights lit,Islington,None,-0.113002,1,2,Metropolitan Police,Dry,Dual carriageway,30,7:00,Urban,Fine no high winds,Car
BS0003628,11/26/2021,Thursday,Give way or uncontrolled,Crossroads,Slight,51.562246,Daylight,Islington,None,-0.136328,1,1,Metropolitan Police,Dry,Single carriageway,30,10:20,Urban,Fine no high winds,Car
BS0003629,11/22/2021,Sunday,Give way or uncontrolled,T or staggered junction,Slight,51.551522,Daylight,Islington,None,-0.112389,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,14:30,Urban,Raining no high winds,Car
BS0003630,11/24/2021,Tuesday,Give way or uncontrolled,Crossroads,Slight,51.546427,Darkness - lights lit,Islington,None,-0.108706,1,2,Metropolitan Police,Dry,Single carriageway,30,16:58,Urban,Fine no high winds,Car
BS0003631,11/24/2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.544669,Darkness - lights lit,Islington,None,-0.08902,3,3,Metropolitan Police,Wet or damp,Single carriageway,30,19:38,Urban,Raining no high winds,Car
BS0003632,11/28/2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.562106,Daylight,Islington,None,-0.110653,1,2,Metropolitan Police,Dry,Single carriageway,30,11:30,Urban,Fine no high winds,Car
BS0003633,11/5/2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.531003,Darkness - lights lit,Islington,None,-0.116987,2,2,Metropolitan Police,Dry,Single carriageway,30,16:53,Urban,Fine no high winds,Car
BS0003634,11/23/2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.54856,Daylight,Islington,None,-0.107175,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,11:15,Urban,Raining + high winds,Car
BS0003635,11/20/2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.547063,Darkness - lights lit,Islington,None,-0.109112,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,17:42,Urban,Fine no high winds,Car
BS0003636,11/27/2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.537138,Daylight,Islington,None,-0.107072,1,1,Metropolitan Police,Dry,Single carriageway,30,8:40,Urban,Fine no high winds,Car
BS0003637,11/22/2021,Sunday,Give way or uncontrolled,T or staggered junction,Slight,51.539503,Daylight,Islington,None,-0.097601,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,12:00,Urban,Fog or mist,Car
BS0003638,11/29/2021,Sunday,Auto traffic signal,Other junction,Slight,51.530639,Darkness - lights lit,Camden,None,-0.122337,1,1,Metropolitan Police,Wet or damp,One way street,30,19:40,Urban,Raining no high winds,Taxi/Private hire car
BS0003639,11/27/2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.550766,Darkness - lights lit,Islington,None,-0.110113,1,2,Metropolitan Police,Dry,Dual carriageway,30,16:30,Urban,Fine no high winds,Car
BS0003640,11/25/2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.562106,Daylight,Islington,None,-0.110653,2,2,Metropolitan Police,Dry,Dual carriageway,30,15:58,Urban,Fine no high winds,Car
BS0003641,11/25/2021,Wednesday,Auto traffic signal,Crossroads,Slight,51.525757,Daylight,Islington,None,-0.10394,1,1,Metropolitan Police,Dry,Single carriageway,30,8:55,Urban,Fine no high winds,Motorcycle 50cc and under
BS0003642,11/24/2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.552177,Darkness - lights lit,Islington,None,-0.1252,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,20:37,Urban,Raining no high winds,Car
BS0003643,11/16/2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.551928,Darkness - lights lit,Islington,None,-0.132134,1,1,Metropolitan Police,Dry,Single carriageway,30,17:00,Urban,Fine no high winds,Motorcycle 125cc and under
BS0003644,12/1/2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.549617,Darkness - lights lit,Islington,None,-0.12819,1,2,Metropolitan Police,Dry,Single carriageway,30,23:35,Urban,Fine no high winds,Car
BS0003645,11/30/2021,Monday,Auto traffic signal,Crossroads,Slight,51.536842,Darkness - lights lit,Islington,None,-0.116602,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,6:45,Urban,Raining no high winds,Goods 7.5 tonnes mgw and over
BS0003646,11/27/2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.562265,Darkness - lights lit,Islington,None,-0.126228,1,2,Metropolitan Police,Dry,Single carriageway,30,21:00,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
BS0003647,11/26/2021,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.533787,Daylight,Islington,None,-0.105625,1,2,Metropolitan Police,Dry,Single carriageway,30,9:12,Urban,Fine no high winds,Car
BS0003648,11/27/2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.546769,Daylight,Islington,None,-0.118788,1,2,Metropolitan Police,Dry,Single carriageway,30,9:20,Urban,Fine no high winds,Car
BS0003649,11/22/2021,Sunday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.546488,Darkness - lights lit,Islington,None,-0.118078,1,2,Metropolitan Police,Dry,Single carriageway,30,3:15,Urban,Fine no high winds,Car
BS0003650,12/3/2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.523872,Darkness - lights lit,Islington,None,-0.087585,1,1,Metropolitan Police,Dry,Single carriageway,30,23:30,Urban,Fine no high winds,Car
BS0003651,12/3/2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.553979,Daylight,Islington,None,-0.114163,1,2,Metropolitan Police,Dry,Single carriageway,30,15:15,Urban,Fine no high winds,Car
BS0003652,12/2/2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.535737,Daylight,Islington,None,-0.103814,1,1,Metropolitan Police,Dry,Single carriageway,30,17:20,Urban,Fine no high winds,Car
BS0003653,12/4/2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.541029,Daylight,Islington,None,-0.103017,1,2,Metropolitan Police,Dry,Single carriageway,30,16:50,Urban,Fine no high winds,Car
BS0003654,12/3/2021,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.560023,Daylight,Islington,None,-0.115356,1,2,Metropolitan Police,Dry,Single carriageway,30,18:00,Urban,Fine no high winds,Car
BS0003655,12/3/2021,Thursday,Auto traffic signal,T or staggered junction,Slight,51.564898,Daylight,Islington,None,-0.105342,1,1,Metropolitan Police,Dry,Single carriageway,30,12:20,Urban,Fine no high winds,Car
BS0003656,11/28/2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.531776,Darkness - lights lit,Islington,None,-0.109169,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,19:00,Urban,Raining no high winds,Van / Goods 3.5 tonnes mgw or under
BS0003657,12/2/2021,Wednesday,Auto traffic signal,T or staggered junction,Slight,51.531449,Darkness - lights lit,Islington,None,-0.111201,1,1,Metropolitan Police,Dry,Single carriageway,30,20:50,Urban,Fine no high winds,Car
BS0003658,12/2/2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.549997,Daylight,Islington,None,-0.118222,1,2,Metropolitan Police,Dry,Single carriageway,30,11:45,Urban,Fine no high winds,Car
BS0003659,12/3/2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.530869,Daylight,Camden,None,-0.119876,1,2,Metropolitan Police,Dry,Single carriageway,30,18:45,Urban,Fine no high winds,Car
BS0003660,11/24/2021,Tuesday,Give way or uncontrolled,Crossroads,Slight,51.538008,Darkness - lights lit,Islington,None,-0.099682,1,2,Metropolitan Police,Dry,Single carriageway,30,16:39,Urban,Other,Car
BS0003661,12/4/2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.541764,Daylight,Islington,None,-0.098372,1,2,Metropolitan Police,Dry,Single carriageway,30,17:40,Urban,Fine no high winds,Car
BS0003662,12/4/2021,Friday,Auto traffic signal,Crossroads,Slight,51.560108,Daylight,Islington,None,-0.115063,1,2,Metropolitan Police,Dry,Single carriageway,30,16:35,Urban,Fine no high winds,Car
BS0003663,10/2/2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.565288,Daylight,Islington,None,-0.140965,1,1,Metropolitan Police,Dry,Single carriageway,30,14:00,Urban,Fine no high winds,Car
BS0003664,11/11/2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.538568,Daylight,Camden,None,-0.123308,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,15:59,Urban,Raining no high winds,Agricultural vehicle
BS0003665,12/10/2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.531454,Darkness - lights lit,Islington,None,-0.111489,1,2,Metropolitan Police,Dry,Single carriageway,30,0:25,Urban,Fine no high winds,Car
BS0003666,10/9/2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.520931,Daylight,Islington,None,-0.100249,1,2,Metropolitan Police,Dry,Single carriageway,30,11:00,Urban,Fine no high winds,Car
BS0003667,12/8/2021,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.531459,Daylight,Islington,None,-0.111778,1,2,Metropolitan Police,Dry,Single carriageway,30,9:12,Urban,Fine no high winds,Car
BS0003668,12/7/2021,Monday,Auto traffic signal,T or staggered junction,Slight,51.546564,Daylight,Islington,None,-0.083893,1,1,Metropolitan Police,Dry,Single carriageway,30,16:10,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
BS0003669,11/25/2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.546488,Darkness - lights lit,Islington,None,-0.079281,1,2,Metropolitan Police,Dry,Single carriageway,30,18:00,Urban,Fine no high winds,Car
BS0003670,12/1/2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.543251,Darkness - lights lit,Islington,None,-0.106963,1,2,Metropolitan Police,Dry,Single carriageway,30,22:00,Urban,Fine no high winds,Car
BS0003671,12/17/2021,Thursday,Give way or uncontrolled,Crossroads,Slight,51.52682,Daylight,Islington,None,-0.10851,1,2,Metropolitan Police,Dry,Single carriageway,30,12:50,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
BS0003672,12/12/2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.562169,Darkness - lights lit,Islington,None,-0.125799,1,1,Metropolitan Police,Dry,Single carriageway,30,20:01,Urban,Fine no high winds,Car
BS0003673,12/9/2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.524968,Daylight,Islington,None,-0.099648,1,2,Metropolitan Police,Dry,Single carriageway,30,19:00,Urban,Fine no high winds,Car
BS0003674,12/15/2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.569784,Daylight,Islington,None,-0.124043,1,2,Metropolitan Police,Dry,Single carriageway,30,17:40,Urban,Fine no high winds,Car
BS0003675,12/13/2021,Sunday,Give way or uncontrolled,T or staggered junction,Slight,51.57096,Darkness - lights lit,Islington,None,-0.124427,1,2,Metropolitan Police,Dry,Single carriageway,30,0:21,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
BS0003676,12/11/2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.565742,Daylight,Islington,None,-0.141235,1,1,Metropolitan Police,Dry,Single carriageway,30,10:50,Urban,Fine no high winds,Car
BS0003677,11/30/2021,Monday,Auto traffic signal,Crossroads,Slight,51.557664,Darkness - lights lit,Islington,None,-0.119637,1,2,Metropolitan Police,Dry,Single carriageway,30,17:20,Urban,Fine no high winds,Car
BS0003678,12/7/2021,Monday,Auto traffic signal,T or staggered junction,Slight,51.557661,Daylight,Islington,None,-0.119493,1,1,Metropolitan Police,Dry,Single carriageway,30,15:29,Urban,Fine no high winds,Car
BS0003679,12/20/2021,Sunday,Give way or uncontrolled,T or staggered junction,Slight,51.527683,Darkness - lights lit,Islington,None,-0.100689,1,2,Metropolitan Police,Dry,Single carriageway,30,20:55,Urban,Fine no high winds,Car
